cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,926646.54494
capital,Generator,AL0 0,offwind-dc,1376744.67666
capital,Generator,AL0 0,onwind,22029045.8139
capital,Generator,AL0 0,residential rural solar thermal,306126.96845
capital,Generator,AL0 0,residential urban decentral solar thermal,297578.26536
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,289737.95788
capital,Generator,AL0 0,services urban decentral solar thermal,321934.61466
capital,Generator,AL0 0,solar,1233066425.99146
capital,Generator,AL0 0,solar rooftop,8313527.28423
capital,Generator,AL0 0,solar-hsat,1037311.33348
capital,Generator,AL0 0,urban central solar thermal,242445.58711
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304528183.67954
capital,Generator,AT0 0,residential rural solar thermal,248017.8408
capital,Generator,AT0 0,residential urban decentral solar thermal,242928.79742
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,246226.04282
capital,Generator,AT0 0,services urban decentral solar thermal,234909.38803
capital,Generator,AT0 0,solar,5164202925.30587
capital,Generator,AT0 0,solar rooftop,358718538.75869
capital,Generator,AT0 0,solar-hsat,1657365.89914
capital,Generator,AT0 0,urban central solar thermal,231432.29224
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,179520.1266
capital,Generator,BA0 0,onwind,40949803.07567
capital,Generator,BA0 0,residential rural solar thermal,252504.75851
capital,Generator,BA0 0,residential urban decentral solar thermal,245013.47637
capital,Generator,BA0 0,services rural solar thermal,239182.49261
capital,Generator,BA0 0,services urban decentral solar thermal,257535.3825
capital,Generator,BA0 0,solar,8047713.93648
capital,Generator,BA0 0,solar rooftop,9444051.60663
capital,Generator,BA0 0,solar-hsat,1009142.87781
capital,Generator,BA0 0,urban central solar thermal,266232.8494
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470771370.87767
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,8680809.74622
capital,Generator,BE0 0,onwind,1433930402.21322
capital,Generator,BE0 0,residential rural solar thermal,164809.13338
capital,Generator,BE0 0,residential urban decentral solar thermal,182236.98647
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,182469.29641
capital,Generator,BE0 0,services urban decentral solar thermal,175059.25929
capital,Generator,BE0 0,solar,1760914163.8414
capital,Generator,BE0 0,solar rooftop,1057585.72743
capital,Generator,BE0 0,solar-hsat,1501170.89678
capital,Generator,BE0 0,urban central solar thermal,166952.66141
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567897074.6049
capital,Generator,BG0 0,offwind-ac,1279513.89018
capital,Generator,BG0 0,offwind-dc,1692130.82934
capital,Generator,BG0 0,onwind,66157366.64134
capital,Generator,BG0 0,residential rural solar thermal,241921.22335
