component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,5708.06093
Generator,coal,EU,coal,106061918.58009
Generator,gas,EU,gas,843734484.01069
Generator,load,AL0 0,AC,1.63277
Generator,load,AL0 0,EV battery,1.63959
Generator,load,AL0 0,H2,1.56741
Generator,load,AL0 0,battery,1.63641
Generator,load,AL0 0,home battery,1.64533
Generator,load,AL0 0,low voltage,1.63326
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.62172
Generator,load,AT0 0,EV battery,1.72914
Generator,load,AT0 0,H2,1.56379
Generator,load,AT0 0,battery,1.62269
Generator,load,AT0 0,home battery,1.63211
Generator,load,AT0 0,low voltage,1.6233
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.63028
Generator,load,BA0 0,EV battery,1.63932
Generator,load,BA0 0,H2,1.56712
Generator,load,BA0 0,battery,1.63274
Generator,load,BA0 0,home battery,1.64515
Generator,load,BA0 0,low voltage,1.63468
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,1.66426
Generator,load,BE0 0,H2,1.56014
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,home battery,0.0
Generator,load,BE0 0,low voltage,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.0
Generator,load,BG0 0,EV battery,1.64978
Generator,load,BG0 0,H2,1.567
Generator,load,BG0 0,battery,0.0
Generator,load,BG0 0,home battery,0.0
Generator,load,BG0 0,low voltage,0.0
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.0
Generator,load,CH0 0,EV battery,1.65065
Generator,load,CH0 0,H2,1.56207
Generator,load,CH0 0,battery,0.0
Generator,load,CH0 0,home battery,0.0
Generator,load,CH0 0,low voltage,0.0
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.0
Generator,load,CZ0 0,EV battery,1.66278
Generator,load,CZ0 0,H2,1.56312
Generator,load,CZ0 0,battery,0.0
Generator,load,CZ0 0,home battery,0.0
Generator,load,CZ0 0,low voltage,0.0
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.0
Generator,load,DE0 0,EV battery,1.65253
Generator,load,DE0 0,H2,1.5607
Generator,load,DE0 0,battery,0.0
Generator,load,DE0 0,home battery,0.0
Generator,load,DE0 0,low voltage,0.0
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,0.0
Generator,load,DE0 1,EV battery,1.65942
Generator,load,DE0 1,H2,1.56187
Generator,load,DE0 1,battery,0.0
Generator,load,DE0 1,home battery,0.0
Generator,load,DE0 1,low voltage,0.0
Generator,load,DE0 1,residential rural heat,0.0
Generator,load,DE0 1,residential urban decentral heat,0.0
Generator,load,DE0 1,services rural heat,0.0
Generator,load,DE0 1,services urban decentral heat,0.0
