,0
AC,41.41788479463034
EV battery,57.88187148704923
H2,60.08173992011459
agriculture machinery oil,99.43430520055037
battery,25.94918487800865
biogas,33.01383568149263
co2,-161.28760579081256
co2 sequestered,-106.19980551918778
co2 stored,-106.20949764000626
coal,9.562399739787413
coal for industry,63.78098879093998
gas,24.57788013287734
gas for industry,56.523093526138396
home battery,28.823368006182672
industry methanol,92.87932490164324
kerosene for aviation,99.434444402405
land transport oil,99.43447823265669
low voltage,65.36095600204885
methanol,52.42982712692498
naphtha for industry,62.21234820095442
non-sequestered HVC,-40.84907558173322
oil,57.957942577736986
oil primary,52.92171792791667
process emissions,-132.7698784239651
residential rural heat,72.65563250018597
residential urban decentral heat,80.23841326543216
services rural heat,51.534021378213765
services urban decentral heat,81.00486901994418
shipping methanol,92.87972352862002
shipping oil,99.43459311028883
solid biomass,56.41985535486693
solid biomass for industry,51.07605645702702
urban central heat,56.51508048599544
