cost,component,carrier,0
capital,Generator,biogas,0.0
capital,Generator,coal,0.0
capital,Generator,gas,0.0
capital,Generator,load,0.0
capital,Generator,nuclear,116390796772.9992
capital,Generator,offwind-ac,17315150380.039
capital,Generator,offwind-dc,5202487236.65462
capital,Generator,oil primary,0.0
capital,Generator,onwind,57164001342.58324
capital,Generator,residential rural solar thermal,8619446.93404
capital,Generator,residential urban decentral solar thermal,8784016.3035
capital,Generator,ror,15121742314.61956
capital,Generator,services rural solar thermal,8686458.80707
capital,Generator,services urban decentral solar thermal,8861272.00659
capital,Generator,solar,102495323883.65796
capital,Generator,solar rooftop,8784969478.19892
capital,Generator,solar-hsat,74033765.56106
capital,Generator,solid biomass,0.0
capital,Generator,urban central solar thermal,7212290.30443
capital,Line,AC,6884565340.63046
capital,Link,BEV charger,0.0
capital,Link,CCGT,23469465185.35515
capital,Link,DAC,3041741134.01618
capital,Link,DC,13002643668.4473
capital,Link,Fischer-Tropsch,6882666642.50298
capital,Link,H2 Electrolysis,45669172972.46307
capital,Link,H2 pipeline,1189353763.52689
capital,Link,HVC to air,0.0
capital,Link,SMR,3860406368.62994
capital,Link,SMR CC,133032925.29318
capital,Link,Sabatier,4805126.30269
capital,Link,V2G,0.0
capital,Link,agriculture machinery oil,0.0
capital,Link,battery charger,10101954.66505
capital,Link,battery discharger,0.0
capital,Link,biogas to gas,232361.96733
capital,Link,biomass to liquid,192123.57946
capital,Link,co2 sequestered,0.0
capital,Link,coal for industry,0.0
capital,Link,electricity distribution grid,47245577154.09118
capital,Link,electrobiofuels,7094536361.90368
capital,Link,gas for industry,0.0
capital,Link,gas for industry CC,199020824.15626
capital,Link,home battery charger,10729657.84773
capital,Link,home battery discharger,0.0
capital,Link,industry methanol,0.0
capital,Link,kerosene for aviation,0.0
capital,Link,land transport oil,0.0
capital,Link,methanolisation,3027756246.54292
capital,Link,naphtha for industry,0.0
capital,Link,oil refining,0.0
capital,Link,process emissions,0.0
capital,Link,process emissions CC,4014707532.10007
capital,Link,residential rural air heat pump,3558240284.51515
capital,Link,residential rural ground heat pump,18582139209.6705
