component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,5.78268
Generator,AL0 0,offwind-dc,7.35303
Generator,AL0 0,onwind,234.07779
Generator,AL0 0,residential rural solar thermal,10.21641
Generator,AL0 0,residential urban decentral solar thermal,10.99518
Generator,AL0 0,ror,48.2
Generator,AL0 0,services rural solar thermal,9.40826
Generator,AL0 0,services urban decentral solar thermal,11.49167
Generator,AL0 0,solar,41742.82187
Generator,AL0 0,solar rooftop,252.44524
Generator,AL0 0,solar-hsat,49.20474
Generator,AL0 0,urban central solar thermal,12.96144
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,3235.06227
Generator,AT0 0,residential rural solar thermal,9.01587
Generator,AT0 0,residential urban decentral solar thermal,9.17723
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,services rural solar thermal,8.91145
Generator,AT0 0,services urban decentral solar thermal,8.35768
Generator,AT0 0,solar,175923.59617
Generator,AT0 0,solar rooftop,10265.16251
Generator,AT0 0,solar-hsat,63.8524
Generator,AT0 0,urban central solar thermal,12.766
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.81906
Generator,BA0 0,onwind,435.05433
Generator,BA0 0,residential rural solar thermal,8.93426
Generator,BA0 0,residential urban decentral solar thermal,8.64228
Generator,BA0 0,services rural solar thermal,8.0394
Generator,BA0 0,services urban decentral solar thermal,9.23722
Generator,BA0 0,solar,301.4835
Generator,BA0 0,solar rooftop,274.56063
Generator,BA0 0,solar-hsat,44.66289
Generator,BA0 0,urban central solar thermal,14.53402
Generator,BE0 0,load,inf
Generator,BE0 0,nuclear,5931.08243
Generator,BE0 0,offwind-ac,2261.8
Generator,BE0 0,offwind-dc,43.53643
Generator,BE0 0,onwind,15229.12378
Generator,BE0 0,residential rural solar thermal,5.67238
Generator,BE0 0,residential urban decentral solar thermal,6.81227
Generator,BE0 0,ror,59.01534
Generator,BE0 0,services rural solar thermal,6.63173
Generator,BE0 0,services urban decentral solar thermal,6.12948
