component,location,carrier,0
StorageUnit,AL0 0,hydro,0.3458270420535873
StorageUnit,AT0 0,PHS,0.5913663285124356
StorageUnit,AT0 0,hydro,0.43142364786635795
StorageUnit,BA0 0,PHS,0.030518954545454547
StorageUnit,BA0 0,hydro,0.414275201578799
StorageUnit,BE0 0,PHS,0.05260733944954128
StorageUnit,BE0 0,hydro,0.5134476631382565
StorageUnit,BG0 0,PHS,0.24723501157407407
StorageUnit,BG0 0,hydro,0.20155613617710919
StorageUnit,CH0 0,PHS,0.3411946549715617
StorageUnit,CH0 0,hydro,0.24181514539277196
StorageUnit,CZ0 0,PHS,0.024452831042947692
StorageUnit,CZ0 0,hydro,0.38895613996114914
StorageUnit,DE0 0,PHS,0.04142016517222864
StorageUnit,DE0 1,PHS,0.04647969608692905
StorageUnit,ES0 0,PHS,0.5376501416978402
StorageUnit,ES0 0,hydro,0.24505588345153745
StorageUnit,ES6 0,PHS,0.2409624089186826
StorageUnit,ES6 0,hydro,0.24467693544365507
StorageUnit,FI1 0,hydro,0.49223052946199836
StorageUnit,FR0 0,PHS,0.141303026946508
StorageUnit,FR0 0,hydro,0.45810065424411045
StorageUnit,FR5 0,hydro,0.4210196216519865
StorageUnit,GB3 0,PHS,0.20633188636363636
StorageUnit,GB3 0,hydro,0.12461733634311513
StorageUnit,GR0 0,PHS,0.10747121602288985
StorageUnit,GR0 0,hydro,0.24203201870615745
StorageUnit,HR0 0,PHS,0.3421321123321123
StorageUnit,HR0 0,hydro,0.50625001523336
StorageUnit,HU0 0,hydro,0.4418760714285714
StorageUnit,IE3 0,PHS,0.09550451530612244
StorageUnit,IE3 0,hydro,0.22627
StorageUnit,IT0 0,PHS,0.2669559353663413
StorageUnit,IT0 0,hydro,0.4338543833072713
StorageUnit,IT4 0,PHS,0.15608715853658536
StorageUnit,IT4 0,hydro,0.4258758823529412
StorageUnit,LT0 0,PHS,0.11234652222222222
StorageUnit,LU0 0,PHS,0.05958638330757342
StorageUnit,ME0 0,PHS,0.08961263843648208
StorageUnit,ME0 0,hydro,0.5142504804890987
StorageUnit,MK0 0,hydro,0.24695630727762802
StorageUnit,NO1 0,PHS,0.705386513017499
StorageUnit,NO1 0,hydro,0.40698253675672424
StorageUnit,PL0 0,PHS,0.0645812087912088
StorageUnit,PL0 0,hydro,0.7483893068482398
StorageUnit,PT0 0,PHS,0.4809002600050981
StorageUnit,PT0 0,hydro,0.32227739465742705
StorageUnit,RO0 0,hydro,0.19271696921756248
StorageUnit,RS0 0,PHS,0.07416399022801302
StorageUnit,RS0 0,hydro,0.39049701303632456
StorageUnit,SE1 0,PHS,0.5168498913043479
StorageUnit,SE1 0,hydro,0.4728795964978383
StorageUnit,SI0 0,PHS,0.07764716666666667
StorageUnit,SI0 0,hydro,0.43315033235564654
StorageUnit,SK0 0,PHS,0.059240529105675246
StorageUnit,SK0 0,hydro,0.29581862606232295
StorageUnit,XK0 0,hydro,0.19002628571428573
Generator,AL0 0,load,0.0
Generator,AL0 0,offwind-ac,0.18526358020848466
Generator,AL0 0,offwind-dc,0.2650580780984165
Generator,AL0 0,onwind,0.05070314445467039
Generator,AL0 0,residential rural solar thermal,0.03242136915022009
Generator,AL0 0,residential urban decentral solar thermal,0.031875785571495875
Generator,AL0 0,ror,0.3302406639004149
Generator,AL0 0,services rural solar thermal,0.02973557278391541
Generator,AL0 0,services urban decentral solar thermal,0.03635763992526761
Generator,AL0 0,solar,0.1469457335467867
Generator,AL0 0,solar rooftop,0.12301519331479571
Generator,AL0 0,solar-hsat,0.13882869821078214
Generator,AL0 0,urban central solar thermal,0.02249827179696083
Generator,AT0 0,load,0.0
