cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,1067451.60508
capital,Generator,AL0 0,offwind-dc,1504595.92548
capital,Generator,AL0 0,onwind,22033500.86924
capital,Generator,AL0 0,residential rural solar thermal,278008.3978
capital,Generator,AL0 0,residential urban decentral solar thermal,299200.22911
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,services rural solar thermal,256017.0151
capital,Generator,AL0 0,services urban decentral solar thermal,312710.69119
capital,Generator,AL0 0,solar,1224976346.61716
capital,Generator,AL0 0,solar rooftop,8822038.43606
capital,Generator,AL0 0,solar-hsat,1743898.34022
capital,Generator,AL0 0,urban central solar thermal,208141.61257
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,304513078.9586
capital,Generator,AT0 0,residential rural solar thermal,245339.25936
capital,Generator,AT0 0,residential urban decentral solar thermal,249730.13913
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,services rural solar thermal,242497.85979
capital,Generator,AT0 0,services urban decentral solar thermal,227428.67613
capital,Generator,AT0 0,solar,5162618013.57517
capital,Generator,AT0 0,solar rooftop,358729916.00665
capital,Generator,AT0 0,solar-hsat,2263035.96054
capital,Generator,AT0 0,urban central solar thermal,205003.15001
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,149305.12576
capital,Generator,BA0 0,onwind,40951215.81719
capital,Generator,BA0 0,residential rural solar thermal,243118.60323
capital,Generator,BA0 0,residential urban decentral solar thermal,235173.04824
capital,Generator,BA0 0,services rural solar thermal,218767.75912
capital,Generator,BA0 0,services urban decentral solar thermal,251362.62227
capital,Generator,BA0 0,solar,8847273.44677
capital,Generator,BA0 0,solar rooftop,9594890.55516
capital,Generator,BA0 0,solar-hsat,1582927.59189
capital,Generator,BA0 0,urban central solar thermal,233394.92257
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,4470756314.64798
capital,Generator,BE0 0,offwind-ac,419079145.3416
capital,Generator,BE0 0,offwind-dc,8847226.65732
capital,Generator,BE0 0,onwind,1433501733.70274
capital,Generator,BE0 0,residential rural solar thermal,154356.5068
capital,Generator,BE0 0,residential urban decentral solar thermal,185375.12043
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,services rural solar thermal,180462.25844
capital,Generator,BE0 0,services urban decentral solar thermal,166794.89866
capital,Generator,BE0 0,solar,1757615077.23726
capital,Generator,BE0 0,solar rooftop,1490785.0007
capital,Generator,BE0 0,solar-hsat,2307834.08484
capital,Generator,BE0 0,urban central solar thermal,146826.36045
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,1567892970.37198
capital,Generator,BG0 0,offwind-ac,1316770.15402
capital,Generator,BG0 0,offwind-dc,1937752.6929
capital,Generator,BG0 0,onwind,66182493.98642
capital,Generator,BG0 0,residential rural solar thermal,232292.25713
capital,Generator,BG0 0,residential urban decentral solar thermal,249456.02602
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,services rural solar thermal,238636.80773
capital,Generator,BG0 0,services urban decentral solar thermal,245510.94214
capital,Generator,BG0 0,solar,766685281.00671
