component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,6342.8803
Generator,coal,EU,coal,106061918.63133
Generator,gas,EU,gas,843727643.10226
Generator,load,AL0 0,AC,1.03969
Generator,load,AL0 0,EV battery,1.77782
Generator,load,AL0 0,H2,1.79202
Generator,load,AL0 0,battery,1.09617
Generator,load,AL0 0,home battery,1.07327
Generator,load,AL0 0,low voltage,1.02902
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.01457
Generator,load,AT0 0,EV battery,1.78122
Generator,load,AT0 0,H2,1.78978
Generator,load,AT0 0,battery,1.00962
Generator,load,AT0 0,home battery,0.9954
Generator,load,AT0 0,low voltage,0.96507
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.03581
Generator,load,BA0 0,EV battery,1.77953
Generator,load,BA0 0,H2,1.79192
Generator,load,BA0 0,battery,1.06132
Generator,load,BA0 0,home battery,1.11599
Generator,load,BA0 0,low voltage,1.04923
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,1.77568
Generator,load,BE0 0,H2,1.78869
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,home battery,0.0
Generator,load,BE0 0,low voltage,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.0
Generator,load,BG0 0,EV battery,1.78083
Generator,load,BG0 0,H2,1.79191
Generator,load,BG0 0,battery,0.0
Generator,load,BG0 0,home battery,0.0
Generator,load,BG0 0,low voltage,0.0
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.0
Generator,load,CH0 0,EV battery,1.77768
Generator,load,CH0 0,H2,1.78835
Generator,load,CH0 0,battery,0.0
Generator,load,CH0 0,home battery,0.0
Generator,load,CH0 0,low voltage,0.0
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.0
Generator,load,CZ0 0,EV battery,1.77853
Generator,load,CZ0 0,H2,1.79015
Generator,load,CZ0 0,battery,0.0
Generator,load,CZ0 0,home battery,0.0
