,0
AC,41.356043025448976
EV battery,57.21773266470682
H2,60.11485326630992
agriculture machinery oil,99.42899693296307
battery,25.620247852047253
biogas,33.0244866767083
co2,-161.26946419976315
co2 sequestered,-106.18831579238844
co2 stored,-106.196714211769
coal,9.56228053939355
coal for industry,63.774809831360066
gas,24.578646822175383
gas for industry,56.5202536759322
home battery,28.45358003882736
industry methanol,92.87815234497054
kerosene for aviation,99.43015218457955
land transport oil,99.42864551179234
low voltage,65.29249585068766
methanol,52.43217669384027
naphtha for industry,62.21196952505954
non-sequestered HVC,-40.84750857808084
oil,57.95701680017633
oil primary,52.92018644583332
process emissions,-132.75554160052081
residential rural heat,72.65539462253412
residential urban decentral heat,80.23722861446929
services rural heat,51.53475002919798
services urban decentral heat,81.00673017222846
shipping methanol,92.87655909954228
shipping oil,99.43026428508485
solid biomass,56.41788517342379
solid biomass for industry,51.07650006191928
urban central heat,56.520175714541836
