component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5461469798.7583
Generator,solar,AC,4953539605.20465
Link,H2 Electrolysis,H2,2035529112.72038
Generator,onwind,AC,1927591831.48923
Link,urban central air heat pump,urban central heat,1611617548.49342
Generator,offwind-dc,AC,1065961241.6678
Generator,solid biomass,solid biomass,1049092780.80217
Link,BEV charger,EV battery,1046210599.35994
Link,Fischer-Tropsch,oil,782971438.26629
Link,residential urban decentral air heat pump,residential urban decentral heat,750011223.64406
Link,solid biomass for industry CC,solid biomass for industry,748206661.94529
Link,kerosene for aviation,kerosene for aviation,743906975.24533
Link,residential rural ground heat pump,residential rural heat,516014617.94803
Link,methanolisation,methanol,511709679.40741
Link,shipping methanol,shipping methanol,502969703.16816
Link,services rural ground heat pump,services rural heat,396142068.8948
Generator,offwind-ac,AC,387493831.7709
Link,biogas to gas,gas,347279009.85257
Generator,biogas,biogas,347279007.79644
StorageUnit,hydro,AC,335127355.00564
Generator,solar rooftop,low voltage,330677230.69929
Link,services urban decentral air heat pump,services urban decentral heat,290787053.14145
Link,solid biomass for industry CC,co2 stored,289610015.32063
Link,electrobiofuels,oil,289217776.47354
Link,naphtha for industry,naphtha for industry,276860000.75731
Link,kerosene for aviation,co2,191258483.33557
Generator,ror,AC,155405582.42904
Link,process emissions CC,co2 stored,127193192.8903
Link,gas for industry,gas for industry,126342489.60218
Link,shipping methanol,co2,124741376.24765
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,gas for industry CC,gas for industry,105027510.67256
Link,H2 Electrolysis,urban central heat,100684294.9548
Link,Sabatier,gas,93894442.13772
Link,co2 sequestered,co2 sequestered,92899178.40478
Link,waste CHP,urban central heat,86779241.32383
Link,CCGT,AC,81935151.50701
Link,V2G,low voltage,59147299.42135
Link,agriculture machinery oil,agriculture machinery oil,51423817.90091
Link,SMR,H2,46399582.8151
Link,Fischer-Tropsch,urban central heat,36985614.86369
Link,residential rural air heat pump,residential rural heat,31894606.73221
Link,waste CHP,co2,29260571.20777
Link,CCGT,co2,27038599.99731
Link,gas for industry,co2,25015812.94123
Link,waste CHP,AC,24639882.01666
Link,services rural air heat pump,services rural heat,23238121.61698
Link,gas for industry CC,co2 stored,21950749.73057
Link,agriculture machinery oil,co2,13221063.58233
