cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,3305121.6489
capital,Generator,AL0 0,offwind-dc,17151231.67488
capital,Generator,AL0 0,onwind,623665.48077
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,1583580870.43764
capital,Generator,AL0 0,solar rooftop,20743097.19899
capital,Generator,AL0 0,solar-hsat,1555402.73395
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,1006699.60278
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5163191128.93529
capital,Generator,AT0 0,solar rooftop,632687311.88193
capital,Generator,AT0 0,solar-hsat,2548014.42865
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,241211.93205
capital,Generator,BA0 0,onwind,371425.68365
capital,Generator,BA0 0,solar,363323441.17702
capital,Generator,BA0 0,solar rooftop,2227275.90408
capital,Generator,BA0 0,solar-hsat,1796014.41012
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,nuclear,488323.5061
capital,Generator,BE0 0,offwind-ac,154008265.93687
capital,Generator,BE0 0,offwind-dc,176999760.95747
capital,Generator,BE0 0,onwind,1433831833.77428
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,3107576655.45357
capital,Generator,BE0 0,solar rooftop,1656687.13372
capital,Generator,BE0 0,solar-hsat,2253849.76523
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,nuclear,473566.67473
capital,Generator,BG0 0,offwind-ac,3180638.29785
capital,Generator,BG0 0,offwind-dc,7089690.19479
capital,Generator,BG0 0,onwind,1582073.59574
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,1706295630.24995
capital,Generator,BG0 0,solar rooftop,9187896.69276
capital,Generator,BG0 0,solar-hsat,2159220.14164
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,nuclear,444655.45041
capital,Generator,CH0 0,onwind,296431.73861
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3675872061.4551
capital,Generator,CH0 0,solar rooftop,565605933.68525
capital,Generator,CH0 0,solar-hsat,3197055.95194
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,nuclear,535221.26352
capital,Generator,CZ0 0,onwind,4001701.02872
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,268575978.33894
capital,Generator,CZ0 0,solar rooftop,1899460.80994
capital,Generator,CZ0 0,solar-hsat,2293520.59832
capital,Generator,DE0 0,load,0.0
capital,Generator,DE0 0,nuclear,592459.41214
capital,Generator,DE0 0,offwind-ac,390961332.77669
capital,Generator,DE0 0,offwind-dc,4737105651.67636
capital,Generator,DE0 0,onwind,4542803400.75272
capital,Generator,DE0 0,ror,506429478.63486
capital,Generator,DE0 0,solar,1510140147.85447
capital,Generator,DE0 0,solar rooftop,2939276.73476
capital,Generator,DE0 0,solar-hsat,3070375.87942
