component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,347279007.79644
Generator,load,AL0 0,AC,1.99488
Generator,load,AL0 0,EV battery,2.16319
Generator,load,AL0 0,H2,2.02295
Generator,load,AL0 0,battery,1.99721
Generator,load,AL0 0,home battery,2.0476
Generator,load,AL0 0,low voltage,2.00112
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.88355
Generator,load,AT0 0,EV battery,2.1533
Generator,load,AT0 0,H2,2.02189
Generator,load,AT0 0,battery,1.86895
Generator,load,AT0 0,home battery,1.971
Generator,load,AT0 0,low voltage,1.87765
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.99864
Generator,load,BA0 0,EV battery,2.16149
Generator,load,BA0 0,H2,2.02448
Generator,load,BA0 0,battery,2.00176
Generator,load,BA0 0,home battery,2.04893
Generator,load,BA0 0,low voltage,2.00794
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.0
Generator,load,BE0 0,EV battery,2.1414
Generator,load,BE0 0,H2,2.02324
Generator,load,BE0 0,battery,0.0
Generator,load,BE0 0,home battery,0.0
Generator,load,BE0 0,low voltage,0.0
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.0
Generator,load,BG0 0,EV battery,2.15192
Generator,load,BG0 0,H2,2.02392
Generator,load,BG0 0,battery,0.0
Generator,load,BG0 0,home battery,0.0
Generator,load,BG0 0,low voltage,0.0
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
