,0
AC,44.78437999358337
EV battery,62.57737982451337
H2,62.361625106902906
agriculture machinery oil,109.67226858767891
battery,24.034516916710437
biogas,73.22851307341735
co2,-106.62701137763331
co2 sequestered,-30.122536838686838
co2 stored,-30.122054483228872
gas,79.42707743212864
gas for industry,96.77670127502319
home battery,26.259909372138434
industry methanol,100.64736015749436
kerosene for aviation,109.6731751253733
low voltage,70.53209162565982
methanol,73.81497456158736
naphtha for industry,84.50464524719578
non-sequestered HVC,-5.757802936846877
oil,82.16423056497376
process emissions,-57.75242197779893
residential rural heat,77.73242194450947
residential urban decentral heat,87.93899518579514
services rural heat,54.94914295327748
services urban decentral heat,88.76992191660422
shipping methanol,100.6468097212125
solid biomass,72.31240073952691
solid biomass for industry,60.44149703215724
urban central heat,61.50554349174897
