cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,769353994.41431
capital,Generator,AL0 0,offwind-dc,1130336428.80133
capital,Generator,AL0 0,onwind,8382.82302
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,39199.71346
capital,Generator,AL0 0,solar rooftop,70343.21041
capital,Generator,AL0 0,solar-hsat,16307.00595
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,8763.24483
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5166136020.47137
capital,Generator,AT0 0,solar rooftop,81705.52153
capital,Generator,AT0 0,solar-hsat,32487.42921
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,10750.99592
capital,Generator,BA0 0,onwind,4728.89497
capital,Generator,BA0 0,solar,34511.8681
capital,Generator,BA0 0,solar rooftop,42660.93589
capital,Generator,BA0 0,solar-hsat,16473.83572
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154061522.70793
capital,Generator,BE0 0,offwind-dc,177045950.31671
capital,Generator,BE0 0,onwind,71876.58029
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,23467.23157
capital,Generator,BE0 0,solar rooftop,16957.21956
capital,Generator,BE0 0,solar-hsat,13768.76728
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,23501.50015
capital,Generator,BG0 0,offwind-dc,1016450600.52846
capital,Generator,BG0 0,onwind,11332.85482
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,198747.00426
capital,Generator,BG0 0,solar rooftop,86658.80134
capital,Generator,BG0 0,solar-hsat,25265.3935
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,3190.3646
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3679029505.07782
capital,Generator,CH0 0,solar rooftop,565651237.27564
capital,Generator,CH0 0,solar-hsat,37839.38489
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,14360.13161
capital,Generator,CZ0 0,ror,12396579.18494
capital,Generator,CZ0 0,solar,15530.89338
capital,Generator,CZ0 0,solar rooftop,11339.73585
capital,Generator,CZ0 0,solar-hsat,11042.42641
