component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,0.0
Generator,load,AL0 0,AC,0.0237
Generator,load,AL0 0,EV battery,0.02402
Generator,load,AL0 0,H2,0.0
Generator,load,AL0 0,battery,0.02347
Generator,load,AL0 0,home battery,0.02359
Generator,load,AL0 0,low voltage,0.02349
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,0.02367
Generator,load,AT0 0,EV battery,0.02448
Generator,load,AT0 0,H2,0.01146
Generator,load,AT0 0,battery,0.02324
Generator,load,AT0 0,home battery,0.02337
Generator,load,AT0 0,low voltage,0.02337
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,0.02375
Generator,load,BA0 0,EV battery,0.02419
Generator,load,BA0 0,H2,0.0
Generator,load,BA0 0,battery,0.0236
Generator,load,BA0 0,home battery,0.0236
Generator,load,BA0 0,low voltage,0.02359
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,0.02369
Generator,load,BE0 0,EV battery,0.02428
Generator,load,BE0 0,H2,0.01153
Generator,load,BE0 0,battery,0.02346
Generator,load,BE0 0,home battery,0.02342
Generator,load,BE0 0,low voltage,0.02342
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,0.02365
Generator,load,BG0 0,EV battery,0.02505
Generator,load,BG0 0,H2,0.0105
Generator,load,BG0 0,battery,0.02316
Generator,load,BG0 0,home battery,0.02324
Generator,load,BG0 0,low voltage,0.02326
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,0.02365
Generator,load,CH0 0,EV battery,0.02468
Generator,load,CH0 0,H2,0.01121
Generator,load,CH0 0,battery,0.02324
Generator,load,CH0 0,home battery,0.02326
Generator,load,CH0 0,low voltage,0.02328
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,0.02364
Generator,load,CZ0 0,EV battery,0.02434
Generator,load,CZ0 0,H2,0.01082
Generator,load,CZ0 0,battery,0.02307
Generator,load,CZ0 0,home battery,0.02328
Generator,load,CZ0 0,low voltage,0.02329
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,0.02365
Generator,load,DE0 0,EV battery,0.02363
Generator,load,DE0 0,H2,0.0
Generator,load,DE0 0,battery,0.02338
Generator,load,DE0 0,home battery,0.02337
Generator,load,DE0 0,low voltage,0.02344
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,0.02379
Generator,load,DE0 1,EV battery,0.02379
Generator,load,DE0 1,H2,0.0
Generator,load,DE0 1,battery,0.02334
Generator,load,DE0 1,home battery,0.02343
Generator,load,DE0 1,low voltage,0.02342
Generator,load,DE0 1,residential rural heat,0.0
Generator,load,DE0 1,residential urban decentral heat,0.0
Generator,load,DE0 1,services rural heat,0.0
Generator,load,DE0 1,services urban decentral heat,0.0
