,0
AC,97.42782387970534
EV battery,79.6064678806354
battery,468.9130892709632
co2,0.00986175130425
co2 sequestered,9021.70703685885
co2 stored,55199.78439761139
home battery,14.725657992876501
land transport oil,100000.01052041665
low voltage,103.81079849157236
oil,100000.00581565974
residential rural heat,93.90717743399647
residential urban decentral heat,115.75016477140743
services rural heat,93.4633287333755
services urban decentral heat,116.28167460598539
urban central heat,92.6895071431263
