component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,4549830910.04806
Generator,offwind-dc,AC,1740633424.15728
Link,residential urban decentral air heat pump,residential urban decentral heat,1152043401.26024
Link,urban central air heat pump,urban central heat,1147326184.3841
Generator,offwind-ac,AC,974346997.4359
Generator,load,land transport oil,947055924.06722
Generator,solar,AC,941738913.00165
Link,BEV charger,EV battery,688087895.45766
Generator,onwind,AC,637052866.79682
Link,residential rural ground heat pump,residential rural heat,535254312.9967
Link,services urban decentral air heat pump,services urban decentral heat,452252347.74386
StorageUnit,hydro,AC,341233041.61307
Link,services rural ground heat pump,services rural heat,198248797.15167
Generator,ror,AC,170397234.51594
Generator,solar rooftop,low voltage,147380653.02132
Link,battery charger,battery,37486292.50471
Link,battery discharger,AC,36728916.18738
Link,residential rural air heat pump,residential rural heat,12654911.68354
Link,services rural air heat pump,services rural heat,6319650.72978
Link,V2G,low voltage,1569492.81276
Link,land transport oil,land transport oil,247997.72262
Generator,load,oil,247997.72251
Link,home battery charger,home battery,85033.02754
Link,home battery discharger,low voltage,83315.72867
Link,land transport oil,co2,63760.21449
Generator,solar-hsat,AC,12192.92459
Generator,load,EV battery,0.81982
Generator,load,AC,0.80741
Generator,load,home battery,0.80047
Generator,load,low voltage,0.80045
Generator,load,battery,0.79982
Link,H2 Electrolysis,H2,0.39391
Generator,load,H2,0.21546
Link,co2 sequestered,co2 sequestered,0.0458
Generator,load,co2 stored,0.04557
Generator,load,co2 sequestered,0.02281
Link,H2 Electrolysis,urban central heat,0.01958
Store,co2 stored,co2 stored,0.00023
Store,oil,oil,0.00011
Store,EV battery,EV battery,-0.0
Store,battery,battery,0.0
Store,home battery,home battery,0.0
Generator,biogas,biogas,0.0
Generator,load,services urban decentral heat,0.0
Generator,solid biomass,solid biomass,0.0
Generator,load,biogas,0.0
Generator,load,co2,0.0
Generator,load,none,0.0
Generator,load,residential rural heat,0.0
Generator,load,residential urban decentral heat,0.0
Generator,load,services rural heat,0.0
Generator,load,solid biomass,0.0
Generator,load,urban central heat,0.0
Link,co2 sequestered,co2 stored,-0.0458
Store,co2 sequestered,co2 sequestered,-0.06861
Link,H2 Electrolysis,AC,-0.56322
Store,H2 Store,H2,-0.60937
Store,co2,co2,-63760.21449
Link,home battery discharger,home battery,-85033.7595
Link,home battery charger,low voltage,-86786.47031
Link,land transport oil,oil,-247997.72262
Link,V2G,EV battery,-1743880.90307
Link,services rural air heat pump,low voltage,-2545520.67304
Link,residential rural air heat pump,low voltage,-4970254.15178
StorageUnit,PHS,AC,-7130967.41575
Link,battery discharger,battery,-37486293.11022
Link,battery charger,AC,-38259287.07719
Link,DC,AC,-44822312.77536
Link,services rural ground heat pump,low voltage,-59504774.72739
Line,AC,AC,-61251431.94735
Link,residential rural ground heat pump,low voltage,-161227324.09512
Link,services urban decentral air heat pump,low voltage,-199231748.1688
Load,services rural heat,services rural heat,-204568447.88144
Link,urban central air heat pump,low voltage,-405347231.17135
Load,services urban decentral heat,services urban decentral heat,-452252347.74388
Link,residential urban decentral air heat pump,low voltage,-507718352.32326
Load,residential rural heat,residential rural heat,-547909224.68024
Load,land transport EV,EV battery,-686344015.27808
Link,BEV charger,low voltage,-764542106.06406
Load,land transport oil,land transport oil,-947303921.78965
Load,urban central heat,urban central heat,-1147326184.40367
Load,residential urban decentral heat,residential urban decentral heat,-1152043401.26022
Load,electricity,low voltage,-2593690274.57493
Link,electricity distribution grid,AC,-4690679585.99889
