component,location,carrier,0
Generator,AL0 0,load,inf
Generator,AL0 0,offwind-ac,4164.1751
Generator,AL0 0,offwind-dc,5524.00133
Generator,AL0 0,onwind,0.07696
Generator,AL0 0,ror,48.2
Generator,AL0 0,solar,1.31191
Generator,AL0 0,solar rooftop,1.78406
Generator,AL0 0,solar-hsat,0.44561
Generator,AT0 0,load,inf
Generator,AT0 0,onwind,0.07993
Generator,AT0 0,ror,4468.08037
Generator,AT0 0,solar,176043.67682
Generator,AT0 0,solar rooftop,2.05077
Generator,AT0 0,solar-hsat,0.84449
Generator,BA0 0,load,inf
Generator,BA0 0,offwind-ac,0.04676
Generator,BA0 0,onwind,0.04285
Generator,BA0 0,solar,1.11059
Generator,BA0 0,solar rooftop,1.17676
Generator,BA0 0,solar-hsat,0.4318
Generator,BE0 0,load,inf
Generator,BE0 0,offwind-ac,831.48104
Generator,BE0 0,offwind-dc,871.22777
Generator,BE0 0,onwind,0.61056
Generator,BE0 0,ror,59.01534
Generator,BE0 0,solar,0.76741
Generator,BE0 0,solar rooftop,0.45746
Generator,BE0 0,solar-hsat,0.37018
Generator,BG0 0,load,inf
Generator,BG0 0,offwind-ac,0.1158
Generator,BG0 0,offwind-dc,4708.74756
Generator,BG0 0,onwind,0.10319
Generator,BG0 0,ror,110.4
Generator,BG0 0,solar,7.01941
Generator,BG0 0,solar rooftop,2.50493
Generator,BG0 0,solar-hsat,0.65171
Generator,CH0 0,load,inf
Generator,CH0 0,onwind,0.02895
Generator,CH0 0,ror,4202.6208
Generator,CH0 0,solar,125368.28557
Generator,CH0 0,solar rooftop,16186.28299
Generator,CH0 0,solar-hsat,0.98987
Generator,CZ0 0,load,inf
Generator,CZ0 0,onwind,0.13183
Generator,CZ0 0,ror,40.22638
Generator,CZ0 0,solar,0.49265
Generator,CZ0 0,solar rooftop,0.3093
Generator,CZ0 0,solar-hsat,0.28468
Generator,DE0 0,load,inf
Generator,DE0 0,offwind-ac,2104.11583
Generator,DE0 0,offwind-dc,21545.13372
Generator,DE0 0,onwind,0.19606
Generator,DE0 0,ror,1643.34253
Generator,DE0 0,solar,0.58773
Generator,DE0 0,solar rooftop,0.38606
Generator,DE0 0,solar-hsat,0.3213
Generator,DE0 1,load,inf
Generator,DE0 1,offwind-ac,2268.16082
Generator,DE0 1,offwind-dc,268.44271
Generator,DE0 1,onwind,0.09833
Generator,DE0 1,ror,3593.68631
Generator,DE0 1,solar,1.15437
Generator,DE0 1,solar rooftop,0.59406
Generator,DE0 1,solar-hsat,0.40702
Generator,DK0 0,load,inf
Generator,DK0 0,offwind-ac,0.16891
Generator,DK0 0,offwind-dc,0.53563
Generator,DK0 0,onwind,5548.22255
Generator,DK0 0,solar,0.19937
Generator,DK0 0,solar rooftop,0.11836
Generator,DK0 0,solar-hsat,0.14963
Generator,DK1 0,load,inf
Generator,DK1 0,offwind-ac,10849.05791
Generator,DK1 0,offwind-dc,2914.42038
Generator,DK1 0,onwind,16035.7756
Generator,DK1 0,solar,0.34888
Generator,DK1 0,solar rooftop,0.189
Generator,DK1 0,solar-hsat,0.20589
Generator,EE0 0,load,inf
Generator,EE0 0,offwind-ac,0.35573
Generator,EE0 0,offwind-dc,0.18631
Generator,EE0 0,onwind,26542.73084
Generator,EE0 0,solar,0.21999
Generator,EE0 0,solar rooftop,0.11897
Generator,EE0 0,solar-hsat,0.15154
Generator,ES0 0,load,inf
Generator,ES0 0,offwind-ac,0.07946
Generator,ES0 0,offwind-dc,0.07887
Generator,ES0 0,onwind,97398.03505
Generator,ES0 0,ror,130.0
Generator,ES0 0,solar,214735.47563
Generator,ES0 0,solar rooftop,64288.35614
Generator,ES0 0,solar-hsat,0.85793
Generator,ES6 0,load,inf
Generator,ES6 0,offwind-ac,0.04647
Generator,ES6 0,offwind-dc,0.03843
Generator,ES6 0,onwind,1230.31421
Generator,ES6 0,ror,147.00825
Generator,ES6 0,solar,0.35588
Generator,ES6 0,solar rooftop,0.33194
Generator,ES6 0,solar-hsat,0.19992
Generator,EU,biogas,347323678.55875
Generator,EU,load,inf
Generator,EU,solid biomass,1049092861.83616
Generator,FI1 0,load,inf
Generator,FI1 0,offwind-ac,3211.22315
Generator,FI1 0,offwind-dc,44870.22514
Generator,FI1 0,onwind,3.08196
Generator,FI1 0,ror,1470.6
Generator,FI1 0,solar,0.19079
Generator,FI1 0,solar rooftop,0.14128
Generator,FI1 0,solar-hsat,0.13832
Generator,FR0 0,load,inf
Generator,FR0 0,offwind-ac,0.22423
Generator,FR0 0,offwind-dc,204338.15346
Generator,FR0 0,onwind,0.13192
Generator,FR0 0,ror,6830.08473
Generator,FR0 0,solar,0.73872
Generator,FR0 0,solar rooftop,0.50438
Generator,FR0 0,solar-hsat,0.37497
Generator,FR5 0,load,inf
Generator,FR5 0,offwind-ac,0.05347
Generator,FR5 0,offwind-dc,0.06974
Generator,FR5 0,onwind,0.09093
Generator,FR5 0,ror,148.06013
Generator,FR5 0,solar,11000.24586
Generator,FR5 0,solar rooftop,336.3796
Generator,FR5 0,solar-hsat,0.40828
Generator,GB2 0,load,inf
Generator,GB2 0,offwind-ac,111568.36677
Generator,GB2 0,offwind-dc,0.10133
Generator,GB2 0,onwind,76364.36565
Generator,GB2 0,ror,2203.275
Generator,GB2 0,solar,0.27926
Generator,GB2 0,solar rooftop,0.22225
Generator,GB2 0,solar-hsat,0.19131
Generator,GB3 0,load,inf
Generator,GB3 0,offwind-ac,5662.98312
Generator,GB3 0,offwind-dc,14087.60194
Generator,GB3 0,onwind,17407.34509
Generator,GB3 0,ror,1432.9
Generator,GB3 0,solar,0.16601
Generator,GB3 0,solar rooftop,0.09224
Generator,GB3 0,solar-hsat,0.12805
Generator,GR0 0,load,inf
Generator,GR0 0,offwind-ac,0.07973
Generator,GR0 0,offwind-dc,0.08938
Generator,GR0 0,onwind,10961.08141
Generator,GR0 0,ror,103.1
Generator,GR0 0,solar,111622.57412
Generator,GR0 0,solar rooftop,16219.42895
Generator,GR0 0,solar-hsat,0.81622
Generator,HR0 0,load,inf
Generator,HR0 0,offwind-ac,1522.0688
