component,location,carrier,0
Line,AL0 0,AC,0.34811698684840414
Line,AT0 0,AC,0.3102571626916273
Line,BA0 0,AC,0.2755592344003441
Line,BE0 0,AC,0.29176627840648806
Line,BG0 0,AC,0.4128440627902316
Line,CH0 0,AC,0.34704657843203207
Line,CZ0 0,AC,0.18242170893932175
Line,DE0 0,AC,0.2953408754845481
Line,DE0 1,AC,0.40811010915532164
Line,DK1 0,AC,0.505171040561653
Line,EE0 0,AC,0.42102205261880743
Line,ES0 0,AC,0.4845629391281572
Line,FI1 0,AC,0.45773916238715745
Line,FR0 0,AC,0.3190898977697333
Line,GB3 0,AC,0.24916020502259797
Line,GR0 0,AC,0.520404773052452
Line,HR0 0,AC,0.16476477991290286
Line,HU0 0,AC,0.1943310352840762
Line,IT0 0,AC,0.4387475250195202
Line,LT0 0,AC,0.44706397485473387
Line,ME0 0,AC,0.2976180785499841
Line,MK0 0,AC,0.4569997383064734
Line,NO1 0,AC,0.20672906242708242
Line,PL0 0,AC,0.21143493257594767
Line,RO0 0,AC,0.24056693147243535
Line,RS0 0,AC,0.37648964903184223
Load,AL0 0,electricity,
Load,AL0 0,land transport EV,
Load,AL0 0,residential rural heat,
Load,AL0 0,residential urban decentral heat,
Load,AL0 0,services rural heat,
Load,AL0 0,services urban decentral heat,
Load,AL0 0,urban central heat,
Load,AT0 0,electricity,
Load,AT0 0,land transport EV,
Load,AT0 0,residential rural heat,
Load,AT0 0,residential urban decentral heat,
Load,AT0 0,services rural heat,
Load,AT0 0,services urban decentral heat,
Load,AT0 0,urban central heat,
Load,BA0 0,electricity,
Load,BA0 0,land transport EV,
Load,BA0 0,residential rural heat,
Load,BA0 0,residential urban decentral heat,
Load,BA0 0,services rural heat,
Load,BA0 0,services urban decentral heat,
Load,BA0 0,urban central heat,
Load,BE0 0,electricity,
Load,BE0 0,land transport EV,
Load,BE0 0,residential rural heat,
Load,BE0 0,residential urban decentral heat,
Load,BE0 0,services rural heat,
Load,BE0 0,services urban decentral heat,
Load,BE0 0,urban central heat,
Load,BG0 0,electricity,
Load,BG0 0,land transport EV,
Load,BG0 0,residential rural heat,
Load,BG0 0,residential urban decentral heat,
Load,BG0 0,services rural heat,
Load,BG0 0,services urban decentral heat,
Load,BG0 0,urban central heat,
Load,CH0 0,electricity,
Load,CH0 0,land transport EV,
Load,CH0 0,residential rural heat,
Load,CH0 0,residential urban decentral heat,
Load,CH0 0,services rural heat,
Load,CH0 0,services urban decentral heat,
Load,CH0 0,urban central heat,
Load,CZ0 0,electricity,
Load,CZ0 0,land transport EV,
Load,CZ0 0,residential rural heat,
Load,CZ0 0,residential urban decentral heat,
Load,CZ0 0,services rural heat,
Load,CZ0 0,services urban decentral heat,
Load,CZ0 0,urban central heat,
Load,DE0 0,electricity,
Load,DE0 0,land transport EV,
Load,DE0 0,residential rural heat,
Load,DE0 0,residential urban decentral heat,
Load,DE0 0,services rural heat,
Load,DE0 0,services urban decentral heat,
Load,DE0 0,urban central heat,
Load,DE0 1,electricity,
Load,DE0 1,land transport EV,
Load,DE0 1,residential rural heat,
Load,DE0 1,residential urban decentral heat,
Load,DE0 1,services rural heat,
Load,DE0 1,services urban decentral heat,
Load,DE0 1,urban central heat,
Load,DK0 0,electricity,
Load,DK0 0,land transport EV,
Load,DK0 0,residential rural heat,
Load,DK0 0,residential urban decentral heat,
Load,DK0 0,services rural heat,
Load,DK0 0,services urban decentral heat,
Load,DK0 0,urban central heat,
Load,DK1 0,electricity,
Load,DK1 0,land transport EV,
Load,DK1 0,residential rural heat,
Load,DK1 0,residential urban decentral heat,
Load,DK1 0,services rural heat,
Load,DK1 0,services urban decentral heat,
Load,DK1 0,urban central heat,
Load,EE0 0,electricity,
Load,EE0 0,land transport EV,
Load,EE0 0,residential rural heat,
Load,EE0 0,residential urban decentral heat,
Load,EE0 0,services rural heat,
Load,EE0 0,services urban decentral heat,
Load,EE0 0,urban central heat,
Load,ES0 0,electricity,
Load,ES0 0,land transport EV,
Load,ES0 0,residential rural heat,
Load,ES0 0,residential urban decentral heat,
Load,ES0 0,services rural heat,
Load,ES0 0,services urban decentral heat,
Load,ES0 0,urban central heat,
Load,ES6 0,electricity,
Load,ES6 0,land transport EV,
Load,ES6 0,residential rural heat,
Load,ES6 0,residential urban decentral heat,
Load,ES6 0,services rural heat,
Load,ES6 0,services urban decentral heat,
Load,ES6 0,urban central heat,
Load,EU,land transport oil,
Load,FI1 0,electricity,
Load,FI1 0,land transport EV,
Load,FI1 0,residential rural heat,
Load,FI1 0,residential urban decentral heat,
Load,FI1 0,services rural heat,
Load,FI1 0,services urban decentral heat,
Load,FI1 0,urban central heat,
Load,FR0 0,electricity,
Load,FR0 0,land transport EV,
Load,FR0 0,residential rural heat,
Load,FR0 0,residential urban decentral heat,
Load,FR0 0,services rural heat,
Load,FR0 0,services urban decentral heat,
Load,FR0 0,urban central heat,
Load,FR5 0,electricity,
Load,FR5 0,land transport EV,
Load,FR5 0,residential rural heat,
Load,FR5 0,residential urban decentral heat,
Load,FR5 0,services rural heat,
Load,FR5 0,services urban decentral heat,
Load,GB2 0,electricity,
Load,GB2 0,land transport EV,
Load,GB2 0,residential rural heat,
Load,GB2 0,residential urban decentral heat,
Load,GB2 0,services rural heat,
Load,GB2 0,services urban decentral heat,
Load,GB2 0,urban central heat,
Load,GB3 0,electricity,
Load,GB3 0,land transport EV,
Load,GB3 0,residential rural heat,
Load,GB3 0,residential urban decentral heat,
Load,GB3 0,services rural heat,
Load,GB3 0,services urban decentral heat,
Load,GB3 0,urban central heat,
Load,GR0 0,electricity,
Load,GR0 0,land transport EV,
Load,GR0 0,residential rural heat,
Load,GR0 0,residential urban decentral heat,
Load,GR0 0,services rural heat,
Load,GR0 0,services urban decentral heat,
Load,GR0 0,urban central heat,
Load,HR0 0,electricity,
Load,HR0 0,land transport EV,
Load,HR0 0,residential rural heat,
Load,HR0 0,residential urban decentral heat,
Load,HR0 0,services rural heat,
Load,HR0 0,services urban decentral heat,
Load,HR0 0,urban central heat,
Load,HU0 0,electricity,
Load,HU0 0,land transport EV,
Load,HU0 0,residential rural heat,
Load,HU0 0,residential urban decentral heat,
Load,HU0 0,services rural heat,
Load,HU0 0,services urban decentral heat,
Load,HU0 0,urban central heat,
Load,IE3 0,electricity,
Load,IE3 0,land transport EV,
Load,IE3 0,residential rural heat,
Load,IE3 0,residential urban decentral heat,
Load,IE3 0,services rural heat,
Load,IE3 0,services urban decentral heat,
Load,IE3 0,urban central heat,
Load,IT0 0,electricity,
Load,IT0 0,land transport EV,
Load,IT0 0,residential rural heat,
Load,IT0 0,residential urban decentral heat,
Load,IT0 0,services rural heat,
Load,IT0 0,services urban decentral heat,
Load,IT0 0,urban central heat,
Load,IT4 0,electricity,
Load,IT4 0,land transport EV,
Load,IT4 0,residential rural heat,
Load,IT4 0,residential urban decentral heat,
Load,IT4 0,services rural heat,
Load,IT4 0,services urban decentral heat,
Load,IT4 0,urban central heat,
Load,LT0 0,electricity,
Load,LT0 0,land transport EV,
