
Gurobi 13.0.0 (linux64) logging started Tue Jan 13 10:59:32 2026

Set parameter LogFile to value "/cluster/work/cpesm/acott/pypsa-eur/results/eu-overnight/elec_trans_heat_td_no_tes_batt_h2_sectors_EU_2050_24h/logs/base_s_40___2040_solver.log"
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "Ubuntu 22.04.5 LTS")

CPU model: AMD EPYC 7763 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Non-default parameters:
Method  2
BarConvTol  1e-05
Crossover  0
AggFill  0
PreDual  0
Seed  123
Threads  32
GURO_PAR_BARDENSETHRESH  200

Optimize a model with 1572652 rows, 766476 columns and 3210282 nonzeros (Min)
Model fingerprint: 0xa674d0e9
Model has 605700 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-02, 5e+02]
  Objective range  [2e-01, 2e+06]
  Bounds range     [9e-02, 7e+09]
  RHS range        [4e-01, 1e+09]
Warning: Model contains large rhs
Warning: Model contains large bounds
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 991735 rows and 239269 columns
Presolve time: 1.92s
Presolved: 580917 rows, 527207 columns, 1896282 nonzeros
Elapsed ordering time = 5s
Elapsed ordering time = 10s
Ordering time: 13.42s

Barrier statistics:
 Dense cols : 781
 AA' NZ     : 2.314e+06
 Factor NZ  : 2.095e+07 (roughly 600 MB of memory)
 Factor Ops : 2.435e+10 (less than 1 second per iteration)
 Threads    : 32

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   2.15702022e+18 -1.34221991e+16  3.65e+08 2.04e-10  4.30e+13    18s
   1   1.89913831e+18 -1.55102003e+16  3.25e+08 6.84e+05  3.20e+13    19s
   2   1.36772730e+18 -1.89072325e+16  2.31e+08 2.49e+05  2.05e+13    21s
   3   2.37215699e+17 -2.09382997e+16  3.19e+07 4.45e+04  3.18e+12    25s
   4   4.70532933e+16 -1.83819944e+16  4.09e+06 9.61e+03  4.91e+11    26s
   5   3.03573731e+16 -1.37923393e+16  2.25e+06 2.83e+03  2.39e+11    28s
   6   1.84303464e+16 -9.93392289e+15  1.19e+06 2.09e+03  1.18e+11    30s
   7   4.33705185e+15 -6.60403207e+15  1.92e+05 3.43e+03  2.26e+10    31s
   8   6.64004011e+14 -5.16448503e+15  5.48e+04 3.44e+03  6.33e+09    33s
   9   3.10152754e+14 -2.09099939e+15  1.30e+04 1.11e+03  2.27e+09    35s
  10   1.82048961e+14 -2.01601458e+14  3.94e+03 1.22e+02  3.52e+08    37s
  11   1.32341034e+14 -2.47942229e+13  1.42e+03 4.57e+01  1.40e+08    39s
  12   1.21908086e+14  1.69408747e+13  9.57e+02 2.93e+01  9.27e+07    41s
  13   1.11359800e+14  5.39119942e+13  5.26e+02 1.47e+01  5.03e+07    43s
  14   1.04919244e+14  7.48950412e+13  2.90e+02 6.86e+00  2.61e+07    44s
  15   1.00057290e+14  8.46655505e+13  1.28e+02 3.35e+00  1.33e+07    46s
  16   9.73767387e+13  8.96756016e+13  4.89e+01 1.65e+00  6.60e+06    49s
  17   9.66452837e+13  9.26132086e+13  3.10e+01 7.61e-01  3.46e+06    51s
  18   9.63017979e+13  9.32206529e+13  2.32e+01 5.77e-01  2.64e+06    53s
  19   9.60657770e+13  9.39783744e+13  1.80e+01 3.50e-01  1.79e+06    54s
  20   9.58890184e+13  9.43443561e+13  1.43e+01 2.40e-01  1.32e+06    55s
  21   9.57275631e+13  9.45461601e+13  1.10e+01 1.80e-01  1.01e+06    57s
  22   9.56083962e+13  9.46536336e+13  8.51e+00 1.49e-01  8.18e+05    59s
  23   9.55611096e+13  9.47868377e+13  7.52e+00 1.12e-01  6.64e+05    62s
  24   9.55147393e+13  9.48041670e+13  6.59e+00 1.07e-01  6.09e+05    64s
  25   9.54798973e+13  9.48784010e+13  5.88e+00 8.64e-02  5.16e+05    66s
  26   9.54378734e+13  9.49357732e+13  5.02e+00 7.07e-02  4.31e+05    69s
  27   9.53995233e+13  9.49599966e+13  4.22e+00 6.38e-02  3.77e+05    71s
  28   9.53823990e+13  9.50181865e+13  3.87e+00 4.79e-02  3.12e+05    75s
  29   9.53755534e+13  9.50241556e+13  3.73e+00 4.62e-02  3.01e+05    78s
  30   9.53437528e+13  9.50538534e+13  3.08e+00 3.79e-02  2.49e+05    81s
  31   9.53354233e+13  9.50602090e+13  2.91e+00 3.62e-02  2.36e+05    84s
  32   9.53154389e+13  9.50878185e+13  2.50e+00 2.88e-02  1.95e+05    86s
  33   9.53032366e+13  9.50981024e+13  2.24e+00 2.61e-02  1.76e+05    90s
  34   9.52811815e+13  9.51147404e+13  1.79e+00 2.15e-02  1.43e+05    92s
  35   9.52739982e+13  9.51355048e+13  1.64e+00 1.59e-02  1.19e+05    95s
  36   9.52574430e+13  9.51459845e+13  1.29e+00 1.31e-02  9.56e+04    98s
  37   9.52460672e+13  9.51534356e+13  1.04e+00 1.11e-02  7.95e+04   100s
  38   9.52405833e+13  9.51639702e+13  9.18e-01 8.43e-03  6.58e+04   102s
  39   9.52372003e+13  9.51677798e+13  8.47e-01 7.48e-03  5.96e+04   104s
  40   9.52323047e+13  9.51717804e+13  7.39e-01 6.48e-03  5.20e+04   107s
  41   9.52275964e+13  9.51788516e+13  6.31e-01 4.78e-03  4.19e+04   109s
  42   9.52230677e+13  9.51818133e+13  5.26e-01 4.09e-03  3.54e+04   112s
  43   9.52203766e+13  9.51849882e+13  4.59e-01 3.38e-03  3.04e+04   114s
  44   9.52168683e+13  9.51867425e+13  3.73e-01 3.00e-03  2.59e+04   116s
  45   9.52144949e+13  9.51891059e+13  3.17e-01 2.50e-03  2.18e+04   118s
  46   9.52122452e+13  9.51920143e+13  2.62e-01 1.91e-03  1.74e+04   120s
  47   9.52104977e+13  9.51935847e+13  2.19e-01 1.59e-03  1.45e+04   122s
  48   9.52092185e+13  9.51949582e+13  1.87e-01 1.32e-03  1.23e+04   124s
  49   9.52083202e+13  9.51957562e+13  1.63e-01 1.16e-03  1.08e+04   126s
  50   9.52066560e+13  9.51963703e+13  1.20e-01 1.05e-03  8.82e+03   128s
  51   9.52058778e+13  9.51977053e+13  9.93e-02 8.04e-04  7.01e+03   130s
  52   9.52056630e+13  9.51992087e+13  9.38e-02 5.31e-04  5.55e+03   132s
  53   9.52048818e+13  9.51994776e+13  7.42e-02 4.78e-04  4.64e+03   134s
  54   9.52044688e+13  9.51997299e+13  6.31e-02 4.32e-04  4.07e+03   135s
  55   9.52041350e+13  9.52003344e+13  5.37e-02 3.25e-04  3.27e+03   137s
  56   9.52038048e+13  9.52006184e+13  4.47e-02 2.76e-04  2.74e+03   139s
  57   9.52036200e+13  9.52008860e+13  3.95e-02 2.28e-04  2.35e+03   141s
  58   9.52034739e+13  9.52009811e+13  3.54e-02 2.09e-04  2.14e+03   143s
  59   9.52031518e+13  9.52011618e+13  2.64e-02 1.77e-04  1.71e+03   146s
  60   9.52029914e+13  9.52013378e+13  2.19e-02 1.46e-04  1.42e+03   148s
  61   9.52028456e+13  9.52015212e+13  1.79e-02 1.15e-04  1.14e+03   150s
  62   9.52027485e+13  9.52016635e+13  1.52e-02 9.01e-05  9.33e+02   153s
  63   9.52026213e+13  9.52017539e+13  1.16e-02 7.41e-05  7.45e+02   157s
  64   9.52025448e+13  9.52018542e+13  9.52e-03 5.71e-05  5.94e+02   160s
  65   9.52025063e+13  9.52019008e+13  8.50e-03 4.88e-05  5.21e+02   161s
  66   9.52024519e+13  9.52019317e+13  7.06e-03 4.35e-05  4.47e+02   164s
  67   9.52024240e+13  9.52019838e+13  6.36e-03 3.46e-05  3.79e+02   167s
  68   9.52023835e+13  9.52020090e+13  5.27e-03 3.00e-05  3.22e+02   169s
  69   9.52023538e+13  9.52020602e+13  4.51e-03 2.11e-05  2.53e+02   171s
  70   9.52023335e+13  9.52020764e+13  3.98e-03 1.81e-05  2.21e+02   173s
  71   9.52023062e+13  9.52020955e+13  3.28e-03 1.45e-05  1.81e+02   176s
  72   9.52022788e+13  9.52021077e+13  2.61e-03 1.22e-05  1.47e+02   178s
  73   9.52022675e+13  9.52021214e+13  2.33e-03 9.80e-06  1.26e+02   180s
  74   9.52022532e+13  9.52021317e+13  1.96e-03 7.95e-06  1.05e+02   182s
  75   9.52022470e+13  9.52021372e+13  1.80e-03 6.95e-06  9.46e+01   184s
  76   9.52022388e+13  9.52021465e+13  1.59e-03 5.13e-06  7.96e+01   186s
  77   9.52022336e+13  9.52021509e+13  1.47e-03 4.27e-06  7.14e+01   188s
  78   9.52022237e+13  9.52021556e+13  1.24e-03 3.35e-06  5.88e+01   191s
  79   9.52022146e+13  9.52021609e+13  1.01e-03 2.34e-06  4.63e+01   194s
  80   9.52022042e+13  9.52021625e+13  7.67e-04 2.03e-06  3.60e+01   197s
  81   9.52021969e+13  9.52021638e+13  5.90e-04 1.79e-06  2.85e+01   199s
  82   9.52021925e+13  9.52021651e+13  4.73e-04 1.56e-06  2.37e+01   202s
  83   9.52021899e+13  9.52021661e+13  4.05e-04 1.36e-06  2.05e+01   205s
  84   9.52021847e+13  9.52021683e+13  2.71e-04 9.61e-07  1.42e+01   207s
  85   9.52021828e+13  9.52021699e+13  2.21e-04 6.79e-07  1.11e+01   210s
  86   9.52021801e+13  9.52021707e+13  1.55e-04 5.41e-07  8.04e+00   213s
  87   9.52021782e+13  9.52021715e+13  1.08e-04 4.02e-07  5.72e+00   216s
  88   9.52021775e+13  9.52021720e+13  9.14e-05 3.21e-07  4.76e+00   219s
  89   9.52021769e+13  9.52021720e+13  7.77e-05 3.06e-07  4.20e+00   223s
  90   9.52021764e+13  9.52021724e+13  6.36e-05 2.51e-07  3.44e+00   225s

Barrier solved model in 90 iterations and 225.16 seconds (41.06 work units)
Optimal objective 9.52021764e+13

