
Gurobi 13.0.0 (linux64) logging started Mon Jan 12 16:19:47 2026

Set parameter LogFile to value "/cluster/work/cpesm/acott/pypsa-eur/results/eu-overnight/elec_trans_heat_td_no_tes_batt_h2_sectors_EU_2050_24h/logs/base_s_40___2050_solver.log"
Gurobi Optimizer version 13.0.0 build v13.0.0rc1 (linux64 - "Ubuntu 22.04.5 LTS")

CPU model: AMD EPYC 7763 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Non-default parameters:
Method  2
BarConvTol  1e-05
Crossover  0
AggFill  0
PreDual  0
Seed  123
Threads  32
GURO_PAR_BARDENSETHRESH  200

Optimize a model with 1569365 rows, 764649 columns and 3204075 nonzeros (Min)
Model fingerprint: 0xeb4ad3be
Model has 604239 linear objective coefficients
Coefficient statistics:
  Matrix range     [1e-02, 5e+02]
  Objective range  [2e-01, 2e+06]
  Bounds range     [9e-02, 7e+09]
  RHS range        [4e-01, 1e+09]
Warning: Model contains large rhs
Warning: Model contains large bounds
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Presolve removed 989178 rows and 238538 columns
Presolve time: 1.79s
Presolved: 580187 rows, 526111 columns, 1894092 nonzeros
Elapsed ordering time = 5s
Ordering time: 14.53s

Barrier statistics:
 Dense cols : 780
 AA' NZ     : 2.312e+06
 Factor NZ  : 2.094e+07 (roughly 600 MB of memory)
 Factor Ops : 2.435e+10 (less than 1 second per iteration)
 Threads    : 32

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   2.99432904e+18 -1.50317467e+16  5.07e+08 2.33e-10  5.97e+13    20s
   1   2.63635487e+18 -1.74096543e+16  4.51e+08 6.84e+05  4.45e+13    22s
   2   1.89810074e+18 -2.11645664e+16  3.21e+08 2.49e+05  2.85e+13    25s
   3   3.66382611e+17 -2.35649425e+16  5.07e+07 4.45e+04  4.93e+12    28s
   4   6.35385639e+16 -2.16400801e+16  6.04e+06 1.12e+04  7.25e+11    30s
   5   4.09624327e+16 -1.60346503e+16  3.15e+06 3.66e+03  3.27e+11    34s
   6   2.01228175e+16 -1.16877447e+16  1.26e+06 2.96e+03  1.26e+11    36s
   7   4.59640978e+15 -6.85092464e+15  2.21e+05 3.74e+03  2.47e+10    39s
   8   7.33622812e+14 -6.35229785e+15  4.34e+04 3.27e+03  7.95e+09    42s
   9   2.37737467e+14 -1.19519508e+15  6.47e+03 3.77e+02  1.37e+09    45s
  10   5.71192879e+13 -1.52333289e+14  1.14e+03 3.85e+01  1.89e+08    49s
  11   3.14261864e+13 -5.91766433e+13  5.66e+02 1.37e+01  8.06e+07    52s
  12   1.98483330e+13 -3.12936853e+13  3.33e+02 6.80e+00  4.51e+07    55s
  13   1.06856966e+13 -1.63782637e+13  1.63e+02 3.41e+00  2.36e+07    58s
  14   5.86517244e+12 -9.74581895e+12  7.82e+01 1.98e+00  1.35e+07    60s
  15   3.57716168e+12 -4.12239750e+12  4.15e+01 8.15e-01  6.65e+06    64s
  16   2.05220939e+12 -1.75820779e+12  1.97e+01 3.80e-01  3.28e+06    67s
  17   1.67683986e+12 -9.06975284e+11  1.49e+01 2.30e-01  2.23e+06    69s
  18   1.37578323e+12 -6.28134782e+11  1.11e+01 1.83e-01  1.72e+06    71s
  19   1.25194475e+12 -3.07177731e+11  9.54e+00 1.26e-01  1.34e+06    75s
  20   1.14903875e+12 -1.60090366e+11  8.31e+00 1.01e-01  1.13e+06    77s
  21   9.80490762e+11 -5.16719907e+10  6.29e+00 8.20e-02  8.89e+05    80s
  22   8.50775187e+11  9.23615846e+09  4.72e+00 7.22e-02  7.24e+05    84s
  23   8.09756035e+11  6.67711237e+10  4.20e+00 6.29e-02  6.39e+05    87s
  24   7.78327261e+11  1.04292370e+11  3.81e+00 5.68e-02  5.80e+05    92s
  25   7.54425041e+11  1.47441167e+11  3.51e+00 4.99e-02  5.22e+05    96s
  26   7.19628532e+11  1.90906742e+11  3.07e+00 4.31e-02  4.55e+05   101s
  27   6.83687374e+11  2.14801443e+11  2.61e+00 3.94e-02  4.03e+05   106s
  28   6.48999757e+11  2.36381835e+11  2.17e+00 3.60e-02  3.54e+05   112s
  29   6.35825945e+11  2.68171652e+11  2.00e+00 3.13e-02  3.16e+05   118s
  30   6.22559457e+11  2.90120920e+11  1.84e+00 2.80e-02  2.86e+05   121s
  31   5.99014808e+11  3.12327177e+11  1.54e+00 2.47e-02  2.46e+05   126s
  32   5.95009800e+11  3.25160045e+11  1.49e+00 2.28e-02  2.32e+05   128s
  33   5.85499662e+11  3.41380052e+11  1.37e+00 2.04e-02  2.10e+05   131s
  34   5.71740637e+11  3.67841027e+11  1.20e+00 1.64e-02  1.75e+05   136s
  35   5.58533242e+11  3.78106363e+11  1.03e+00 1.48e-02  1.55e+05   140s
  36   5.48368101e+11  3.98550608e+11  9.03e-01 1.17e-02  1.29e+05   144s
  37   5.36993976e+11  4.08455199e+11  7.62e-01 1.01e-02  1.10e+05   149s
  38   5.27661918e+11  4.16596236e+11  6.41e-01 8.87e-03  9.54e+04   151s
  39   5.20000382e+11  4.29641675e+11  5.45e-01 6.93e-03  7.76e+04   153s
  40   5.15463055e+11  4.36388736e+11  4.88e-01 5.94e-03  6.79e+04   159s
  41   5.09434002e+11  4.39577913e+11  4.10e-01 5.48e-03  6.00e+04   162s
  42   5.06066496e+11  4.47862062e+11  3.64e-01 4.29e-03  5.00e+04   165s
  43   5.03625367e+11  4.53086269e+11  3.31e-01 3.55e-03  4.35e+04   169s
  44   5.01055316e+11  4.54542490e+11  2.95e-01 3.35e-03  4.00e+04   171s
  45   4.99481383e+11  4.60638192e+11  2.74e-01 2.50e-03  3.34e+04   175s
  46   4.95778864e+11  4.63631705e+11  2.22e-01 2.09e-03  2.77e+04   178s
  47   4.94445109e+11  4.66085634e+11  2.05e-01 1.77e-03  2.44e+04   183s
  48   4.92204139e+11  4.67466768e+11  1.72e-01 1.59e-03  2.13e+04   185s
  49   4.90778542e+11  4.70005911e+11  1.52e-01 1.27e-03  1.79e+04   189s
  50   4.89649872e+11  4.71647160e+11  1.36e-01 1.06e-03  1.55e+04   193s
  51   4.88207149e+11  4.72988083e+11  1.15e-01 8.88e-04  1.31e+04   200s
  52   4.87259215e+11  4.75021750e+11  1.01e-01 6.41e-04  1.06e+04   202s
  53   4.86486265e+11  4.75720495e+11  8.93e-02 5.56e-04  9.28e+03   204s
  54   4.85485320e+11  4.76647732e+11  7.42e-02 4.45e-04  7.62e+03   208s
  55   4.84587982e+11  4.77628953e+11  6.02e-02 3.34e-04  6.01e+03   210s
  56   4.84058281e+11  4.78016057e+11  5.22e-02 2.90e-04  5.21e+03   214s
  57   4.83579066e+11  4.78455143e+11  4.47e-02 2.42e-04  4.42e+03   217s
  58   4.83255313e+11  4.79012825e+11  3.96e-02 1.82e-04  3.67e+03   221s
  59   4.83202418e+11  4.79099429e+11  3.88e-02 1.72e-04  3.55e+03   225s
  60   4.82737253e+11  4.79435754e+11  3.17e-02 1.35e-04  2.85e+03   228s
  61   4.82398573e+11  4.79670516e+11  2.67e-02 1.09e-04  2.36e+03   230s
  62   4.82105428e+11  4.79856735e+11  2.22e-02 8.88e-05  1.94e+03   234s
  63   4.81903979e+11  4.80048014e+11  1.90e-02 6.82e-05  1.60e+03   238s
  64   4.81636224e+11  4.80119905e+11  1.49e-02 6.05e-05  1.31e+03   241s
  65   4.81498378e+11  4.80305673e+11  1.28e-02 4.19e-05  1.03e+03   248s
  66   4.81315358e+11  4.80372236e+11  1.01e-02 3.48e-05  8.16e+02   250s
  67   4.81202809e+11  4.80458599e+11  8.24e-03 2.57e-05  6.44e+02   254s
  68   4.81081151e+11  4.80510630e+11  6.22e-03 2.02e-05  4.93e+02   258s
  69   4.80993981e+11  4.80566889e+11  4.77e-03 1.43e-05  3.69e+02   262s
  70   4.80935547e+11  4.80596474e+11  3.81e-03 1.13e-05  2.93e+02   264s
  71   4.80917631e+11  4.80618102e+11  3.52e-03 9.20e-06  2.59e+02   267s
  72   4.80881876e+11  4.80630707e+11  2.89e-03 7.88e-06  2.17e+02   271s
  73   4.80850005e+11  4.80637641e+11  2.35e-03 7.18e-06  1.84e+02   276s
  74   4.80830722e+11  4.80654380e+11  2.02e-03 5.54e-06  1.53e+02   282s
  75   4.80805071e+11  4.80667457e+11  1.58e-03 4.25e-06  1.19e+02   286s
  76   4.80786610e+11  4.80679464e+11  1.28e-03 2.98e-06  9.27e+01   290s
  77   4.80765324e+11  4.80687739e+11  9.39e-04 2.11e-06  6.71e+01   294s
  78   4.80753069e+11  4.80691787e+11  7.42e-04 1.69e-06  5.30e+01   296s
  79   4.80742789e+11  4.80698405e+11  5.73e-04 1.01e-06  3.84e+01   301s
  80   4.80735734e+11  4.80700933e+11  4.55e-04 7.54e-07  3.01e+01   303s
  81   4.80728623e+11  4.80703163e+11  3.33e-04 5.31e-07  2.20e+01   307s
  82   4.80723110e+11  4.80704016e+11  2.38e-04 4.46e-07  1.65e+01   313s
  83   4.80721171e+11  4.80705819e+11  2.08e-04 2.80e-07  1.33e+01   315s
  84   4.80719216e+11  4.80706737e+11  1.74e-04 1.90e-07  1.08e+01   317s
  85   4.80716878e+11  4.80706833e+11  1.36e-04 1.81e-07  8.70e+00   319s
  86   4.80714797e+11  4.80707571e+11  1.01e-04 1.11e-07  6.26e+00   325s
  87   4.80713876e+11  4.80707829e+11  8.56e-05 8.42e-08  5.24e+00   329s
  88   4.80711856e+11  4.80708120e+11  5.46e-05 5.81e-08  3.24e+00   336s

Barrier solved model in 88 iterations and 336.29 seconds (39.96 work units)
Optimal objective 4.80711856e+11

