component,carrier,bus_carrier,0
Link,electricity distribution grid,low voltage,5460723365.50359
Generator,solar,AC,4765045833.5193
Link,H2 Electrolysis,H2,2027565829.70937
Generator,onwind,AC,1734807543.25625
Link,urban central air heat pump,urban central heat,1610504138.99212
Generator,offwind-dc,AC,1179766270.97796
Link,BEV charger,EV battery,1069858096.9651
Generator,solid biomass,solid biomass,1049092853.65571
Link,Fischer-Tropsch,oil,782971296.26775
Link,residential urban decentral air heat pump,residential urban decentral heat,750011223.64406
Link,solid biomass for industry CC,solid biomass for industry,748212208.86106
Link,kerosene for aviation,kerosene for aviation,743906974.84413
Generator,offwind-ac,AC,687822779.06447
Link,residential rural ground heat pump,residential rural heat,514454430.84276
Link,methanolisation,methanol,511709694.39242
Link,shipping methanol,shipping methanol,502969703.10875
Link,services rural ground heat pump,services rural heat,395150745.50008
Link,biogas to gas,gas,347323657.4774
Generator,biogas,biogas,347323655.55206
Generator,solar rooftop,low voltage,336039245.94619
StorageUnit,hydro,AC,334033720.7987
Link,services urban decentral air heat pump,services urban decentral heat,290787053.14145
Link,solid biomass for industry CC,co2 stored,289612162.37765
Link,electrobiofuels,oil,289218401.99275
Link,naphtha for industry,naphtha for industry,276859998.4532
Link,kerosene for aviation,co2,191258483.23243
Generator,ror,AC,152992689.18111
Link,Sabatier,gas,127276536.33476
Link,process emissions CC,co2 stored,127193836.48122
Link,gas for industry CC,gas for industry,126183762.00902
Link,shipping methanol,co2,124741376.23292
Load,process emissions,process emissions,123130000.0
Store,non-sequestered HVC,non-sequestered HVC,117504290.159
Link,gas for industry,gas for industry,105186237.22351
Link,H2 Electrolysis,urban central heat,99907273.88502
Link,SMR,H2,96024669.27674
Link,co2 sequestered,co2 sequestered,92899171.40578
Link,V2G,low voltage,80430032.72392
Link,waste CHP,urban central heat,79633678.7814
Link,CCGT,AC,61346610.07083
Link,agriculture machinery oil,agriculture machinery oil,51423817.44256
Link,Fischer-Tropsch,urban central heat,36959324.64683
Link,residential rural air heat pump,residential rural heat,33454793.83748
Link,waste CHP,co2,26851244.69095
Link,gas for industry CC,co2 stored,26372406.25989
Link,SMR,co2,25016953.31157
Link,services rural air heat pump,services rural heat,24229445.01169
Link,waste CHP,AC,22611024.7981
Link,gas for industry,co2,20826874.97026
Link,CCGT,co2,20244381.32337
Link,agriculture machinery oil,co2,13221063.46448
Link,methanolisation,urban central heat,11989181.32249
Link,naphtha for industry,process emissions,10759999.93988
Link,waste CHP CC,urban central heat,9958673.29142
Link,industry methanol,industry methanol,8739998.22709
Link,process emissions CC,co2,6694412.44638
Link,Sabatier,urban central heat,5867509.34769
Link,battery charger,battery,3712878.00749
Link,battery discharger,AC,3637903.26306
Link,waste CHP CC,co2 stored,3022439.98118
Link,waste CHP CC,AC,2827945.26957
Link,home battery charger,home battery,2525431.80962
Link,home battery discharger,low voltage,2474449.11856
Link,industry methanol,co2,2167604.53042
Generator,solar-hsat,AC,1638664.62373
Link,gas for industry CC,co2,1388021.3821
Link,SMR CC,H2,425866.13421
Link,waste CHP CC,co2,335826.66458
Link,SMR CC,co2 stored,109984.55814
Link,SMR CC,co2,12220.50646
Link,solid biomass for industry,solid biomass for industry,7790.317
Link,process emissions,co2,1751.52731
Link,biomass to liquid,oil,1086.35394
Link,HVC to air,co2,842.74814
Generator,load,EV battery,57.4344
Generator,load,H2,52.38371
Generator,load,AC,43.69315
Generator,load,home battery,43.483
Generator,load,battery,42.81876
Generator,load,low voltage,42.63175
Store,co2,co2,2.39524
Generator,load,solid biomass,2.12954
Generator,load,biogas,1.92534
Generator,load,agriculture machinery oil,1.91185
Generator,load,kerosene for aviation,1.77929
Generator,load,industry methanol,1.77291
Generator,load,oil,1.7433
