component,carrier,0
Generator,solar,4765045833.5193
Generator,onwind,1734807543.25625
Generator,offwind-dc,1179766270.97796
Link,urban central air heat pump,1079622701.17083
Generator,solid biomass,1049092853.65571
Generator,offwind-ac,687822779.06447
Link,residential urban decentral air heat pump,417719805.80796
Link,residential rural ground heat pump,359137994.85867
Generator,biogas,347323655.55206
Generator,solar rooftop,336039245.94619
StorageUnit,hydro,334033720.7987
Link,services rural ground heat pump,279136924.30056
Link,kerosene for aviation,191258483.23243
Link,services urban decentral air heat pump,162097413.20727
Generator,ror,152992689.18111
Link,shipping methanol,124741376.23292
Load,process emissions,123130000.0
Store,non-sequestered HVC,117504290.159
Link,waste CHP,24657034.65337
Link,gas for industry,20826874.97026
Link,residential rural air heat pump,20774005.97355
Link,services rural air heat pump,15686414.43657
Link,gas for industry CC,13740009.64098
Link,agriculture machinery oil,13221063.46448
Link,naphtha for industry,10759999.93988
Link,waste CHP CC,3082782.345
Link,industry methanol,2167604.53042
Generator,solar-hsat,1638664.62373
Generator,load,305.76252
Store,co2,2.39524
Store,oil,0.0
Link,process emissions,0.0
Link,solid biomass for industry,0.0
Store,EV battery,0.0
Store,H2 Store,-0.0
Store,battery,0.0
Link,process emissions CC,-0.0
Store,co2 stored,0.0
Store,gas,0.0
Store,home battery,-0.0
Store,methanol,0.0
Link,co2 sequestered,0.0
Link,biomass to liquid,-1607.0796
Link,HVC to air,-2435.15206
Link,home battery discharger,-51024.93767
Link,home battery charger,-52076.23778
Link,SMR CC,-69126.09715
Link,battery discharger,-75016.20698
Link,battery charger,-76562.24066
Link,SMR,-5306626.46003
Load,industry methanol,-8740000.0
Link,V2G,-8936670.30266
Link,CCGT,-20653358.72384
Load,agriculture machinery electric,-22038779.72332
StorageUnit,PHS,-29830428.55792
Load,agriculture electricity,-37525883.79874
Link,Sabatier,-51152378.93028
Load,agriculture machinery oil,-51423819.35442
Load,low-temperature heat for industry,-59470000.0
Link,biogas to gas,-68770084.18052
Link,DC,-69808106.27799
Link,solid biomass for industry CC,-83134689.87345
Store,co2 sequestered,-92899172.38837
Link,BEV charger,-118873121.88501
Link,electricity distribution grid,-171656765.73689
Line,AC,-173067020.11654
Load,H2 for industry,-179660000.0
Load,services rural heat,-204568447.88144
Load,agriculture heat,-214811742.63032
Link,electrobiofuels,-225868980.88874
Load,gas for industry,-231370000.0
Load,naphtha for industry,-276860000.0
Load,services urban decentral heat,-290777053.14145
Link,methanolisation,-324207092.13959
Link,Fischer-Tropsch,-361310343.49572
Load,shipping methanol,-502969704.58576
Load,residential rural heat,-547909224.68024
Load,kerosene for aviation,-743906976.62384
Load,solid biomass for industry,-748220000.0
Load,residential urban decentral heat,-750011223.64407
Link,H2 Electrolysis,-771534373.82821
Load,land transport EV,-980491450.39726
Load,electricity,-1574967174.57493
Load,industry electricity,-1769410000.0
Load,urban central heat,-1795359777.45503
