cost,component,location,carrier,0
capital,Generator,AL0 0,load,0.0
capital,Generator,AL0 0,offwind-ac,1622627.81801
capital,Generator,AL0 0,offwind-dc,3690039.95798
capital,Generator,AL0 0,onwind,403395.78099
capital,Generator,AL0 0,ror,14853811.92575
capital,Generator,AL0 0,solar,1336637972.40559
capital,Generator,AL0 0,solar rooftop,24195690.71036
capital,Generator,AL0 0,solar-hsat,1355671.68185
capital,Generator,AT0 0,load,0.0
capital,Generator,AT0 0,onwind,902036.87672
capital,Generator,AT0 0,ror,1376929988.78063
capital,Generator,AT0 0,solar,5164150916.11274
capital,Generator,AT0 0,solar rooftop,632853335.616
capital,Generator,AT0 0,solar-hsat,2028518.77473
capital,Generator,BA0 0,load,0.0
capital,Generator,BA0 0,offwind-ac,245445.25686
capital,Generator,BA0 0,onwind,246065.42269
capital,Generator,BA0 0,solar,446747314.33733
capital,Generator,BA0 0,solar rooftop,2726425.67804
capital,Generator,BA0 0,solar-hsat,1481479.5868
capital,Generator,BE0 0,load,0.0
capital,Generator,BE0 0,offwind-ac,154056908.0421
capital,Generator,BE0 0,offwind-dc,177041495.63795
capital,Generator,BE0 0,onwind,1434043747.54562
capital,Generator,BE0 0,ror,18186779.19648
capital,Generator,BE0 0,solar,3121733908.11157
capital,Generator,BE0 0,solar rooftop,1877833.50498
capital,Generator,BE0 0,solar-hsat,1830196.52009
capital,Generator,BG0 0,load,0.0
capital,Generator,BG0 0,offwind-ac,2845357.10555
capital,Generator,BG0 0,offwind-dc,6405975.97408
capital,Generator,BG0 0,onwind,1061409.20675
capital,Generator,BG0 0,ror,34022009.05814
capital,Generator,BG0 0,solar,1974140023.65411
capital,Generator,BG0 0,solar rooftop,15608080.79753
capital,Generator,BG0 0,solar-hsat,1894569.25159
capital,Generator,CH0 0,load,0.0
capital,Generator,CH0 0,onwind,182749.36853
capital,Generator,CH0 0,ror,1295123214.9052
capital,Generator,CH0 0,solar,3676536084.03002
capital,Generator,CH0 0,solar rooftop,565627699.89046
capital,Generator,CH0 0,solar-hsat,2598351.95939
capital,Generator,CZ0 0,load,0.0
capital,Generator,CZ0 0,onwind,4615850.95633
