component,carrier,location,bus_carrier,0
Generator,biogas,EU,biogas,347323655.55206
Generator,load,AL0 0,AC,1.14808
Generator,load,AL0 0,EV battery,1.86823
Generator,load,AL0 0,H2,1.51388
Generator,load,AL0 0,battery,1.11319
Generator,load,AL0 0,home battery,1.12707
Generator,load,AL0 0,low voltage,1.10242
Generator,load,AL0 0,residential rural heat,0.0
Generator,load,AL0 0,residential urban decentral heat,0.0
Generator,load,AL0 0,services rural heat,0.0
Generator,load,AL0 0,services urban decentral heat,0.0
Generator,load,AL0 0,urban central heat,0.0
Generator,load,AT0 0,AC,1.04828
Generator,load,AT0 0,EV battery,0.98196
Generator,load,AT0 0,H2,1.15858
Generator,load,AT0 0,battery,1.03176
Generator,load,AT0 0,home battery,1.03696
Generator,load,AT0 0,low voltage,1.0252
Generator,load,AT0 0,residential rural heat,0.0
Generator,load,AT0 0,residential urban decentral heat,0.0
Generator,load,AT0 0,services rural heat,0.0
Generator,load,AT0 0,services urban decentral heat,0.0
Generator,load,AT0 0,urban central heat,0.0
Generator,load,BA0 0,AC,1.09166
Generator,load,BA0 0,EV battery,1.83797
Generator,load,BA0 0,H2,1.5079
Generator,load,BA0 0,battery,1.07012
Generator,load,BA0 0,home battery,1.07379
Generator,load,BA0 0,low voltage,1.05473
Generator,load,BA0 0,residential rural heat,0.0
Generator,load,BA0 0,residential urban decentral heat,0.0
Generator,load,BA0 0,services rural heat,0.0
Generator,load,BA0 0,services urban decentral heat,0.0
Generator,load,BA0 0,urban central heat,0.0
Generator,load,BE0 0,AC,1.05954
Generator,load,BE0 0,EV battery,1.02105
Generator,load,BE0 0,H2,1.11766
Generator,load,BE0 0,battery,1.04101
Generator,load,BE0 0,home battery,1.05415
Generator,load,BE0 0,low voltage,1.03545
Generator,load,BE0 0,residential rural heat,0.0
Generator,load,BE0 0,residential urban decentral heat,0.0
Generator,load,BE0 0,services rural heat,0.0
Generator,load,BE0 0,services urban decentral heat,0.0
Generator,load,BE0 0,urban central heat,0.0
Generator,load,BG0 0,AC,1.10509
Generator,load,BG0 0,EV battery,1.33104
Generator,load,BG0 0,H2,1.40241
Generator,load,BG0 0,battery,1.07607
Generator,load,BG0 0,home battery,1.0897
Generator,load,BG0 0,low voltage,1.0641
Generator,load,BG0 0,residential rural heat,0.0
Generator,load,BG0 0,residential urban decentral heat,0.0
Generator,load,BG0 0,services rural heat,0.0
Generator,load,BG0 0,services urban decentral heat,0.0
Generator,load,BG0 0,urban central heat,0.0
Generator,load,CH0 0,AC,1.09039
Generator,load,CH0 0,EV battery,1.0257
Generator,load,CH0 0,H2,1.12784
Generator,load,CH0 0,battery,1.06916
Generator,load,CH0 0,home battery,1.07353
Generator,load,CH0 0,low voltage,1.06345
Generator,load,CH0 0,residential rural heat,0.0
Generator,load,CH0 0,residential urban decentral heat,0.0
Generator,load,CH0 0,services rural heat,0.0
Generator,load,CH0 0,services urban decentral heat,0.0
Generator,load,CH0 0,urban central heat,0.0
Generator,load,CZ0 0,AC,1.06311
Generator,load,CZ0 0,EV battery,0.96641
Generator,load,CZ0 0,H2,1.13884
Generator,load,CZ0 0,battery,1.04463
Generator,load,CZ0 0,home battery,1.05056
Generator,load,CZ0 0,low voltage,1.04518
Generator,load,CZ0 0,residential rural heat,0.0
Generator,load,CZ0 0,residential urban decentral heat,0.0
Generator,load,CZ0 0,services rural heat,0.0
Generator,load,CZ0 0,services urban decentral heat,0.0
Generator,load,CZ0 0,urban central heat,0.0
Generator,load,DE0 0,AC,1.14069
Generator,load,DE0 0,EV battery,1.00953
Generator,load,DE0 0,H2,1.24343
Generator,load,DE0 0,battery,1.07955
Generator,load,DE0 0,home battery,1.06232
Generator,load,DE0 0,low voltage,1.06216
Generator,load,DE0 0,residential rural heat,0.0
Generator,load,DE0 0,residential urban decentral heat,0.0
Generator,load,DE0 0,services rural heat,0.0
Generator,load,DE0 0,services urban decentral heat,0.0
Generator,load,DE0 0,urban central heat,0.0
Generator,load,DE0 1,AC,1.14034
Generator,load,DE0 1,EV battery,0.9844
Generator,load,DE0 1,H2,1.25267
