,0
AC,45.19060268503144
EV battery,61.64570187341832
H2,62.71379616579818
agriculture machinery oil,114.39512363188649
battery,28.518661315428922
biogas,77.35379176774225
co2,-108.80298404069774
co2 sequestered,-30.10473380278162
co2 stored,-30.1096810169208
gas,82.90223113733312
gas for industry,100.90118714389719
home battery,25.79718962169593
industry methanol,104.12547173912435
kerosene for aviation,114.39470378089914
low voltage,70.51534446754158
methanol,76.82555635675817
naphtha for industry,88.66874061502949
non-sequestered HVC,-6.38114446692174
oil,86.29704930640376
process emissions,-57.850765133162525
residential rural heat,77.8873862497293
residential urban decentral heat,88.35181417811691
services rural heat,55.05889193296169
services urban decentral heat,89.17734502338944
shipping methanol,104.12415890190252
solid biomass,76.98567481937268
solid biomass for industry,64.78577814564456
urban central heat,60.7059925486479
